Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
Crime Mapper: Campbelltown (C) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/ffb997ef-54f2-4762-ad7f-c38374715ef5,2014-07-01T07:27:05.621609,2016-07-14T02:27:04.655631,DataSA@sa.gov.au,N/A,N/A,,Campbelltown (C) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Ceduna (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/e59eb360-7e67-40a6-913f-46ebb5f2b36a,2014-07-01T23:11:34.782556,2016-07-14T05:42:17.752707,DataSA@sa.gov.au,N/A,N/A,,Ceduna (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Charles Sturt (C) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/b6eacb3a-134d-4676-a25d-01efc5e5afb7,2014-07-01T23:28:21.095095,2016-07-14T04:49:23.940950,datasa@sa.gov.au,N/A,2007-2011,,Charles Sturt (C) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Clare and Gilbert Valleys (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/2984bbc7-ad05-4489-952e-15f8aed49e69,2014-07-01T23:32:36.279047,2016-07-14T02:18:59.085481,datasa@sa.gov.au,N/A,2007-2011,,Clare and Gilbert Valleys (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Cleve (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/a036641a-c7f6-4491-a8f3-0ed733215804,2014-07-01T23:41:49.236612,2016-07-14T02:23:19.335790,datasa@sa.gov.au,N/A,2007-2011,,Cleve (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Coober Pedy (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/8b1bbf8a-51d3-42a2-ac9f-28b04a52a3be,2014-07-01T23:46:37.949382,2016-07-14T04:55:29.837261,datasa@sa.gov.au,N/A,2007-2011,,Coober Pedy (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Copper Coast (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/424f787f-6839-43e9-a5ef-67bab94331f3,2014-07-01T23:53:52.299170,2016-07-14T05:07:53.013710,datasa@sa.gov.au,N/A,2007-2011,,Copper Coast (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Elliston (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/772ca66b-236f-4205-b7d2-0c31b1a394f9,2014-07-02T00:11:43.628520,2016-07-14T05:50:23.519117,datasa@sa.gov.au,N/A,2007-2011,,Elliston (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Flinders Ranges (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/00c76a19-126c-4889-95f5-131ba026c764,2014-07-02T00:21:27.593869,2016-07-14T02:20:09.014192,datasa@sa.gov.au,N/A,2007-2011,,Flinders Ranges (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Franklin Harbour (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/bb7500c8-8f84-45d3-bce7-71e41db5e18c,2014-07-02T00:32:51.905790,2016-07-14T02:25:57.167886,datasa@sa.gov.au,N/A,2007-2011,,Franklin Harbour (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Gawler (T) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/e653699b-1dd5-439a-8e44-2b52decb0f5e,2014-07-02T00:39:09.288759,2016-07-14T04:52:50.757628,datasa@sa.gov.au,N/A,2007-2011,,Gawler (T) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Goyder (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/b73e0996-72d2-42f4-8543-42a6510f0082,2014-07-02T01:51:29.052071,2016-07-14T05:13:11.245884,datasa@sa.gov.au,N/A,2007-2011,,Goyder (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Grant (DC) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/58750bb9-5c71-4d62-8f57-6eb9858a23b7,2014-07-02T01:54:59.005004,2016-07-14T05:04:53.082116,datasa@sa.gov.au,N/A,2007-2011,,Grant (DC) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
Crime Mapper: Holdfast Bay (C) Local Government Area,"Crime Mapper is an online application that provides the geographic distribution of recorded crime across South Australia.  Two units of measurement are reported:
1.	Number of offences - provides a count of all offences listed on all incident reports recorded by South Australia Police .
2.	Rate per 1,000 estimated resident population - provides the number of offences as a rate per 1,000 population residing in each given location.
Offences are categorised as follows:
	Offences against the person (homicide; major assault; other);
	Sexual offences (rape; indecent assault; unlawful sexual intercourse; other);
	Robbery and extortion offences (armed robbery; unarmed robbery; extortion);
	Offences against property (serious criminal trespass/break and enter; fraud and misappropriation; receiving/illegal possession of stolen goods; larceny/illegal use of a motor vehicle; other larceny; larceny from shops; larceny from a motor vehicle; arson/explosives; property damage and environmental offences);
	Offences against good order;
	Drug offences (possess/use drugs; sell/trade drugs; produce/manufacture drugs; possess implement for drug use; other);
	Driving offences (driving under the influence of alcohol/drugs; dangerous driving; driving licence offences; traffic offences; motor vehicle registration offences; other); or
	Other offences.
When using Crime Mapper it is important to understand that the statistics it contains may not provide an accurate measure of the true prevalence or incidence of crime in a community.  Crime Mapper statistics represent only those offences reported to police or which come to the attention of police.  They can, therefore, be influenced by a number of factors, including victim reporting rates, the identification or detection of offences by police (in the case of victimless crimes) and police interpretation and decision as to whether a crime has occurred.  In addition, Crime Mapper does not include offences that are dealt with by way of expiation (e.g., speeding, littering, etc.).
Please also see explanatory notes:  http://www.ocsar.sa.gov.au/about2.html
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/e7772452-c3da-4c39-974b-b16a03cc6618,2014-07-02T01:58:28.368071,2016-07-14T04:45:47.043698,datasa@sa.gov.au,N/A,2007-2011,,Holdfast Bay (C) Local Government Area,Government of South Australia,data.sa.gov.au,Attorney-General's Department,"all offences, driving offences, drug offences, good order offences, Local Government Area, offences recorded by police, personal offences, property offences, Recorded crime, robbery and extortion offences",crime-justice-and-law
